"SNo","Section","Name_Description","Code","Category","ExamType","Round","Date","URL_Link","Status","Year"
"103","College","SAPTHAGIRI NPS UNIVERSITY- Hesaraghatta Main Road, Bengaluru","E116","","","","","","","2025"
"104","College","SDM College of Engineering & Technology, (Tulu Minority)-Kalaghatagi , Dharwad","E117","","","","","","","2025"
"105","College","SDM Institute of Technology, (Tulu Minority)-Ujjire, Dakshina Kannada","E118","","","","","","","2025"
"106","College","SECAB Institute of Engineering &Technology-Nauraspur-Bagalkot Road, Vijayapura","E119","","","","","","","2025"
"107","College","Sri Sairam College of Engineering-Anekal, Bengaluru","E121","","","","","","","2025"
"108","College","Shree Devi Institute of Technology-Kenjar, Mangaluru","E122","","","","","","","2025"
"109","College","Shri Madhwa Vadiraja Institute of Technology & Management-Bantakal, Udupi","E123","","","","","","","2025"
"110","College","Shridevi Institute of Engineering & Technology-Sira Road, Tumakuru","E124","","","","","","","2025"
"111","College","Siddaganga Institute of Technology-B H Road, Tumakuru","E125","","","","","","","2025"
"112","College","Sir M.Visvesvaraya Institute of Technology-Yelahanka, Bengaluru","E126","","","","","","","2025"
"113","College","Sri Jagadguru Murugharajendra University(Formerly S J M Institute of Technology) - Chitradurga","E127","","","","","","","2025"
"114","College","Smt. Kamala and Sri Venkappa M. Agadi College of Engineering & Technology-Laxmeswar, Gadag","E128","","","","","","","2025"
"115","College","Sri Krishna Institute of Technology-Chikkabanavara, Bengaluru","E132","","","","","","","2025"
"116","College","Sri Taralabalu Jagadguru Institute of Technology-Haveri Dist., Ranebennur","E136","","","","","","","2025"
"117","College","Sri Venkateshwara College of Engineering-KIAL Road, Bengaluru","E137","","","","","","","2025"
"118","College","Srinivas Institute of Technology-Hampankatta, Mangaluru","E138","","","","","","","2025"
"119","College","T. John Institute of Technology-Bannerghatta Road, Bengaluru","E141","","","","","","","2025"
"120","College","The National Institute of Engineering, South Campus-Mananthavady Road, Mysuru","E142","","","","","","","2025"
"121","College","Tontadarya College of Engineering-Mundaragi Road , Gadag","E143","","","","","","","2025"
"122","College","Veerappa Nisty Engineering College-Shorapur, Yadgir","E144","","","","","","","2025"
"123","College","Vemana Institute of Technology-Koramangala, Bengaluru","E145","","","","","","","2025"
"124","College","Vidya Vikas Institute of Engineering & Technology-Alnahally, Mysuru","E146","","","","","","","2025"
"125","College","Vidyavardhaka College of Engineering-Gokulam, Mysuru","E147","","","","","","","2025"
"126","College","Vivekananda College of Engineering and Technology-Puttur, Dakshina Kannada","E148","","","","","","","2025"
"127","College","ATME College of Engineering-Bannur Road, Mysuru","E152","","","","","","","2025"
"128","College","Jyothy Institute of Technology-Tathguni, Bengaluru","E156","","","","","","","2025"
"129","College","Shetty Institute of Technology -Shahabad Road,Kalaburagi","E158","","","","","","","2025"
"130","College","Lingaraj Appa Engineering-Gornalli, Bidar","E159","","","","","","","2025"
"131","College","Cambridge Institute of Technology (North Campus)-Kundana, Bengaluru","E161","","","","","","","2025"
"132","College","Reva University-Yelahanka, Bengaluru","E164","","","","","","","2025"
"133","College","Alliance College of Engineering & Design. Alliance University-Anekal, Bengaluru","E165","","","","","","","2025"
"134","College","GITAM (Deemed to be University)-Doddaballapur taluk, Bengaluru","E171","","","","","","","2025"
"135","College","Mysore College of Engineering and Management-Chikkahalli, Mysuru","E172","","","","","","","2025"
"136","College","Presidency University-Yelahanka, Bengaluru","E173","","","","","","","2025"
"137","College","Jain Institute of Technology-Avaragere Village, Davangere","E183","","","","","","","2025"
"138","College","CMR University-Bagalor Chagalatti, Bengaluru","E187","","","","","","","2025"
"139","College","Sir M V School Of Architecture-Yelahanka, Bengaluru","E191","","","","","","","2025"
"140","College","Jain College of Engineering and Technology-Unkal, Hubballi","E194","","","","","","","2025"
"141","College","Navkis College of Engineering -Kandali NH75, Hassan","E195","","","","","","","2025"
"142","College","M.S. Ramaiah University of Applied Sciences-MSR Nagar, Bengaluru","E197","","","","","","","2025"
"143","College","R V Institute of Technology and Management-J P Nagar, Bengaluru","E198","","","","","","","2025"
"144","College","Biluru Gurubasava Mahaswamiji Institute of Technology-Mudhol, Bagalkot","E199","","","","","","","2025"
"145","College","G Madegowda Institute of Technology-Maddur, Mandya District","E201","","","","","","","2025"
"146","College","C Byregowda Institute of Technology-Thoradevandahalli, Kolar","E202","","","","","","","2025"
"147","College","Amruta Institute of Engineering and Management Science-Bidadi, Ramnagar Taluk, Bengaluru Rural","E203","","","","","","","2025"
"148","College","H.K.E. Society's Sir M. Visvesvaraya College of Engineering-Yermarus Camp, Raichur","E204","","","","","","","2025"
"149","College","Vijaya Vittala Institution of Technology-Kothanur, Bengaluru","E205","","","","","","","2025"
"150","College","Cauvery Institute Of Technology-Sundahalli, Mandya","E206","","","","","","","2025"
"151","College","BGS College of Engineering and Technology-Mahalaxmipuram, Bengaluru","E207","","","","","","","2025"
"152","College","A.G.M Rural College of Engineering and Technology-Varur, Hubballi","E208","","","","","","","2025"
"153","College","Aditya College of Engineering and Technology-Yelahanka, Bengaluru","E209","","","","","","","2025"
"154","College","East West College of Engineering-Yelahanka, Bengaluru","E211","","","","","","","2025"
"155","College","Seshadripuram Institute of Technology-Kadakola Industrial Area , Mysuru","E212","","","","","","","2025"
"156","College","Sri Siddhartha School of Engineering-Near Kyathsandra Toll Gate,Tumakuru","E214","","","","","","","2025"
"157","College","Cauvery College of Engineering -KBL Layout, Mysuru","E215","","","","","","","2025"
"158","College","New Ebenezer Institute of Technology-Kothanur, Bengaluru","E216","","","","","","","2025"
"159","College","Harsha Institute of Technology-Nelamangala Taluk, Bangalore Rural","E217","","","","","","","2025"
"160","College","CMN Institute of Technology-Off Magadi Road, Herohalli, Bengaluru","E218","","","","","","","2025"
"161","College","ISBR College of Engineering and Technology-Electronic City, Konappana Agrahara Bengaluru","E219","","","","","","","2025"
"162","College","Ramaiah University College of Engineering -Jigani, Bengaluru","E220","","","","","","","2025"
"163","College","Koshys Institute of Technology-Hennur Bagalur Main Rd, Bengaluru","E221","","","","","","","2025"
"164","College","Future Forge Engineering Academy-Vidya Nagar, Huballi","E222","","","","","","","2025"
"165","College","Shri Swami Nagabhushan Gurukul College of Engineering and Technology-Halasangi, Vijayapura","E223","","","","","","","2025"
"166","College","Acharya's NRV School of Architecture-Soladevanahalli, Bengaluru","E002","","","","","","","2025"
"167","College","Angadi School of Architecture-Savagaon Road, Belagavi","E008","","","","","","","2025"
"168","College","BLDEA""s V.P. Dr. P.G. Halakatti College of Engineering & Technology-Ashram Road, Vijayapura","E026","","","","","","","2025"
"169","College","BMS School of Architecture-Yelahanka, Bengaluru","E029","","","","","","","2025"
"170","College","Dayananda Sagar Academy of Technology & Management-Kanakapura Main Road, Bengaluru","E039","","","","","","","2025"
"171","College","GSSS School of Architecture for Women-K R S Road, Mysuru","E054","","","","","","","2025"
"172","College","Srinivas Institute of Technology-GHS Road, Mangaluru","E138","","","","","","","2025"
"173","College","SJB School of Architecture & Planning-Kengeri, Bengaluru","E163","","","","","","","2025"
"174","College","Mysore School of Architecture-Lingambudi, Mysuru","E168","","","","","","","2025"
"175","College","R.R School Of Architecture - Chikkabanavara, Bengaluru","E169","","","","","","","2025"
"176","College","Gopalan School of Architecture and Planning-Hoodi, Bengaluru","E175","","","","","","","2025"
"177","College","R V College of Architecture-Banashankari 6th Stage, Bengaluru","E176","","","","","","","2025"
"178","College","Wadiyar Centre for Architecture-Chamaraja Mohalla, Mysuru","E178","","","","","","","2025"
"179","College","Beary's Enviro-Architecture Design School-Near Mangalore University, Mangaluru","E181","","","","","","","2025"
"180","College","CMR University-Bagalur-Chagalatti, Bengaluru","E187","","","","","","","2025"
"181","College","BMS College of Architecture, Design & Planning -Bull Temple Road, Bengaluru","E189","","","","","","","2025"
"182","College","Dayananda Sagar College of Architecture-Kumaraswamy Layout, Bengaluru","E193","","","","","","","2025"
"183","College","Poojya Dr. Shivakumar Swamiji School of Architecture.","E213","","","","","","","2025"
"184","Branch","Bachelor of Architecture (B.Arch)","AT","","","","","","","2025"
"185","Branch","Bachelor of Urban & Regional Planning","BP","","","","","","","2025"
"186","Branch","Bachelor of Design","BD","","","","","","","2025"
"187","Branch","Bachelor of Design (Fashion Design)","BFD","","","","","","","2025"
"188","Branch","Bachelor of Design (Industrial Design)","BID","","","","","","","2025"
"189","Branch","Artificial Intelligence & Machine Learning","AI","","","","","","","2025"
"190","Branch","Automation & Robotics Engineering","AR","","","","","","","2025"
"191","Branch","Automobile Engineering","AU","","","","","","","2025"
"192","Branch","B. Design (Interior Design)","BIN","","","","","","","2025"
"193","Branch","Bachelor of Planning","BPL","","","","","","","2025"
"194","Branch","Bachelor of Design (Lifestyle & Accessory Design)","BLD","","","","","","","2025"
"195","Branch","Bachelor of Design (Communication & Design)","BDC","","","","","","","2025"
"196","Branch","Bio Electronics Engineering","BEE","","","","","","","2025"
"197","Branch","Bio Medical Engineering","BM","","","","","","","2025"
"198","Branch","Biotechnology","BT","","","","","","","2025"
"199","Branch","Ceramic And Cement Technology","CC","","","","","","","2025"
"200","Branch","Chemical Engineering","CH","","","","","","","2025"
"201","Branch","Civil (Construction Engineering & Management)","CVC","","","","","","","2025"
"202","Branch","Civil Construction & Sustainability Engineering","CCS","","","","","","","2025"
"203","Branch","Civil Engineering","CV","","","","","","","2025"
"204","Branch","Civil Engineering (Kannada)","CK","","","","","","","2025"
"205","Branch","Civil Engineering (SC)","CVS","","","","","","","2025"
"206","Branch","Civil Engineering with Computer Application","CCA","","","","","","","2025"
"207","Branch","Computer & Communication Engineering","CM","","","","","","","2025"
"208","Branch","Computer Engineering","CE","","","","","","","2025"
"209","Branch","Computer Science","CR","","","","","","","2025"
"210","Branch","Computer Science & Business Systems","CB","","","","","","","2025"
"211","Branch","Computer Science & Design","CG","","","","","","","2025"
"212","Branch","Computer Science & Engineering","CS","","","","","","","2025"
"213","Branch","Computer Science & Engineering (AI & ML)","CI","","","","","","","2025"
"214","Branch","Computer Science & Engineering (AI)","CA","","","","","","","2025"
"215","Branch","Computer Science & Engineering (Artificial Intelligence & Data Science)","CAD","","","","","","","2025"
"216","Branch","Computer Science & Engineering (Block Chain)","CSB","","","","","","","2025"
"217","Branch","Computer Science & Engineering (Cyber Security)","CY","","","","","","","2025"
"218","Branch","Computer Science & Engineering (Data Science)","CD","","","","","","","2025"
"219","Branch","Computer Science & Engineering (IOT & Cyber Security Incl. Block Chain)","IC","","","","","","","2025"
"220","Branch","Computer Science & Engineering (IOT)","CO","","","","","","","2025"
"221","Branch","Computer Science & Engineering (Networks)","CNW","","","","","","","2025"
"222","Branch","Computer Science & Engineering (SC)","CSS","","","","","","","2025"
"223","Branch","Computer Science & Information Technology","CIT","","","","","","","2025"
"224","Branch","Computer Science & Technology","CN","","","","","","","2025"
"225","Branch","Computer Science & Technology (Big Data)","CBD","","","","","","","2025"
"226","Branch","Computer Science & Technology (DevOps)","CSD","","","","","","","2025"
"227","Branch","Construction Technology & Management","CT","","","","","","","2025"
"228","Branch","Cyber Security","CX","","","","","","","2025"
"229","Branch","Data Science","DS","","","","","","","2025"
"230","Branch","Electrical & Computer Engineering","ECE","","","","","","","2025"
"231","Branch","Electrical & Electronics Engineering","EE","","","","","","","2025"
"232","Branch","Electronics & Communication (Industry Integrated)","EII","","","","","","","2025"
"233","Branch","Electronics & Communication Engineering","EC","","","","","","","2025"
"234","Branch","Electronics & Communication Engineering (SC)","ECS","","","","","","","2025"
"235","Branch","Electronics & Computer Engineering","UE","","","","","","","2025"
"236","Branch","Electronics & Computer Science","ES","","","","","","","2025"
"237","Branch","Electronics & Instrumentation Engineering","EI","","","","","","","2025"
"238","Branch","Electronics & Telecommunication Engineering","ET","","","","","","","2025"
"239","Branch","Electronics Engg. (VLSI Design & Technology)","VL","","","","","","","2025"
"240","Branch","Electronics & Communication Engineering (VLSI Design & Technology)","ECV","","","","","","","2025"
"241","Branch","Energy Engineering","EN","","","","","","","2025"
"242","Branch","Industrial & Production Engineering","IP","","","","","","","2025"
"243","Branch","Industrial Engineering & Management","IM","","","","","","","2025"
"244","Branch","Information Science & Engineering","IS","","","","","","","2025"
"245","Branch","Information Science & Technology","IST","","","","","","","2025"
"246","Branch","Information Technology","INT","","","","","","","2025"
"247","Branch","Information Technology (AR / VR)","IAR","","","","","","","2025"
"248","Branch","Information Technology (Data Analytics)","IDA","","","","","","","2025"
"249","Branch","Instrumentation Technology","IT","","","","","","","2025"
"250","Branch","Marine Engineering","MR","","","","","","","2025"
"251","Branch","Mathematics & Computing","MAC","","","","","","","2025"
"252","Branch","Mechanical & Aerospace Engineering","MAE","","","","","","","2025"
"253","Branch","Mechanical Engineering","ME","","","","","","","2025"
"254","Branch","Mechanical Engineering (SC)","MES","","","","","","","2025"
"255","Branch","Mechatronics Engineering","MT","","","","","","","2025"
"256","Branch","Medical Electronics Engineering","MD","","","","","","","2025"
"257","Branch","Mining Engineering","MI","","","","","","","2025"
"258","Branch","Nano Technology","NT","","","","","","","2025"
"259","Branch","Petroleum Engineering","PTE","","","","","","","2025"
"260","Branch","Robotics","ROB","","","","","","","2025"
"261","Branch","Robotics & Artificial Intelligence","RI","","","","","","","2025"
"262","Branch","Robotics & Automation","RA","","","","","","","2025"
"263","Branch","Robotics & Mechatronics","ROM","","","","","","","2025"
"264","Branch","Smart Agritech","SA","","","","","","","2025"
"265","Branch","Telecommunication Engineering","TE","","","","","","","2025"
"266","Branch","Textile Technology","TX","","","","","","","2025"
"267","Branch","VLSI","VLS","","","","","","","2025"
"268","Notification","UGET 2025 Counselling","","Other","General","","","","","2025"
"269","Notification","UGET 2024 Counselling","","Other","General","","","","","2025"
"270","Notification","2023 Details UGET 2023 Counselling","","Other","General","","","","","2025"
"271","Notification","UGET 2022 Counselling","","Other","General","","","","","2025"
"272","Notification","UGET 2021 Counselling","","Other","General","","","","","2025"
"273","Notification","UGET 2020 Counselling","","Other","General","","","","","2025"
"274","Notification","UGET 2019 Counselling","","Other","General","","","","","2025"
"275","Notification","Architecture Vacant Seats after Round 4 Decision Making. Notified on 26.09.2025 Click Here","","Vacant Seats","Architecture","Round 4","26.09.2025","https://www.comedk.org/uploads/architecture-vacant-seats-after-round-4-decision-making-notified-on-26.09.2025.pdf","","2025"
"276","Notification","Architecture Vacant Seats after Round 4 Allotment. Notified on 23.09.2025 Click Here","","Vacant Seats","Architecture","Round 4","23.09.2025","https://www.comedk.org/uploads/Architecture-Vacant-Seats-after-Round-4-Allotment.pdf","","2025"
"277","Notification","Architecture Cut Off Ranks after Round 4 Allotment. Notified on 23.09.2025 Click Here","","Cutoff Ranks","Architecture","Round 4","23.09.2025","https://www.comedk.org/uploads/Architecture-Cut-Off-Ranks-after-Round-4-Allotment.pdf","","2025"
"278","Notification","Architecture Vacant Seats Before the start of Round 4. Notified on 22.09.2025 Click Here","","Vacant Seats","Architecture","Round 4","22.09.2025","https://www.comedk.org/uploads/Architecture-Vacant-Seats-Before-Start-of-Round-4-Notified-on-22-09-2025.pdf","","2025"
"279","Notification","Architecture Vacant Seats after Round 3 Allotment Notified on 17.09.2025 Click Here","","Vacant Seats","Architecture","Round 3","17.09.2025","https://www.comedk.org/uploads/Architecture-Vacant-Seats-after-Round-3-Allotment-Notified-on-17-09-2025.pdf","","2025"
"280","Notification","Architecture Cut Off Ranks after Round 3 Allotment Notified on 17.09.2025 Click Here","","Cutoff Ranks","Architecture","Round 3","17.09.2025","https://www.comedk.org/uploads/Architecture-Cut-Off-Ranks-after-Round-3-Allotment-Notified-on 17-09-2025.pdf","","2025"
"281","Notification","Architecture Vacant Seats at the Beginning of Round 3 Notified on 15.09.2025 Click Here","","Vacant Seats","Architecture","Round 3","15.09.2025","https://www.comedk.org/uploads/Architecture-Vacant-Seats-at-the-Beginning-of-Round-3.pdf","","2025"
"282","Notification","Engineering Vacant Seats after Round 4 Decision Making. Notified on 11.09.2025 Click Here","","Vacant Seats","Engineering","Round 4","11.09.2025","https://www.comedk.org/uploads/Engineering-Vacant-Seats-after-Round-4-Decision-Making-2.pdf","","2025"
"283","Notification","Architecture Vacant Seats after Round 1 Allotment. Notified on 10.09.2025 Click Here","","Vacant Seats","Architecture","Round 1","10.09.2025","https://www.comedk.org/uploads/Architecture-Vacant-Seats-after-Round-1-Allotment.pdf","","2025"
"284","Notification","Architecture Cut off Ranks for ""B. Arch B. Design"" and ""B. Planning"" after Round 1 Allotment. Notified on 10.09.2025 Click Here","","Cutoff Ranks","Architecture","Round 1","10.09.2025","https://www.comedk.org/uploads/Architecture-Cut-Off-Ranks-after-Round-1-Allotment.pdf","","2025"
"285","Notification","Architecture Updated Seat Availability and Fee Details before start of Round 1. Notified on 08.09.2025 Click Here","","Seat Availability","Architecture","Round 1","08.09.2025","https://www.comedk.org/uploads/Architecture-Seat-Availability-and-Fee-1.pdf","","2025"
"286","Notification","Architecture Cut-off Ranks Mock Round Allotment. Notified on 08.09.2025 Click Here","","Cutoff Ranks","Architecture","Mock","08.09.2025","https://www.comedk.org/uploads/Architecture-Cut-Off-Ranks-after-Mock-Allotment.pdf","","2025"
"287","Notification","Engineering Cut-off Ranks after Round 4 Allotment. Notified on 05.09.2025 Click Here","","Cutoff Ranks","Engineering","Round 4","05.09.2025","https://www.comedk.org/uploads/Engineering-Cut-Off-Rank-after.pdf","","2025"
"288","Notification","Engineering Vacant Seats after Round 4 Allotment. Notified on 05.09.2025 Click Here","","Vacant Seats","Engineering","Round 4","05.09.2025","https://www.comedk.org/uploads/Engineering-Vacant-Seat-after.pdf","","2025"
